name,source,gender,wikidata,type
"Gabrielle Petitstraat",wikidata,F,Q468263,way
"Koningin Elisabethlaan",wikidata,F,Q235186,way
"Koningin Fabiolalaan",wikidata,F,Q231171,way
"Marie Henriettesquare",wikidata,F,Q234047,way
"Prinses Paolalaan",wikidata,F,Q31129,way
Sint-Katharinavest,wikidata,F,Q179718,way
"Auguste Demaeghtlaan",wikidata,M,Q15303971,way
"Baron Jacquesstraat",wikidata,M,Q2057914,way
"Charles De Kosterlaan",wikidata,M,Q19973847,way
"Edmond Nerincxstraat",wikidata,M,Q3047938,way
"Eugène Ysayestraat",wikidata,M,Q312857,way
"Gentil Antheunisstraat",wikidata,M,Q2568789,way
"Guido Gezellestraat",wikidata,M,Q336977,relation+way
"Hendrik Consciencestraat",wikidata,M,Q378133,way
"Jan Boonlaan",wikidata,M,Q2030421,way
"Justus Lipsiusstraat",wikidata,M,Q315871,way
"Koning Boudewijnlaan",wikidata,M,Q12976,way
"Louis Thevenetlaan",wikidata,M,Q2032016,way
"Médard-J. van den Weghestraat",wikidata,M,Q106785062,way
"Monseigneur Senciestraat",wikidata,M,Q19587858,way
"Prins Boudewijnlaan / Kamerijkbos",wikidata,M,Q12976,way
Servaislaan,wikidata,M,Q376633,way
Sint-Rochusstraat,wikidata,M,Q152457,way
