name,source,gender,wikidata,type
"'s Hertogenbos",,,,way
"'t Houwken",,,,way
"A. Vaucampslaan",,,,way
Aardslokkerserf,,,,way
Abeelenveld,,,,way
Acacialaan,,,,way
"Albert Bosmansstraat",,,,way
"Albert Jambonstraat",,,,way
Albertstraat,,,,way
"Albrecht Ardevelstraat",,,,way
Alsembergsesteenweg,,,,way
"Alsembergsesteenweg / Steenweg naar Alsemberg",,,,way
Alsputweg,,,,way
Arenbergstraat,,,,way
Arkenvest,,,,way
"Arthur Puesstraat",,,,way
"Avenue des Mésanges",,,,way
Baesberg,,,,way
Balthazarstraat,,,,way
Basiliekstraat,,,,way
Beerselsestraat,,,,way
Beertsestraat,,,,way
Beestenmarkt,,,,way
Begonialaan,,,,way
Bellingenstraat,,,,way
Beneluxlaan,,,,way
Berendries,,,,way
"Berg van 't Kint",,,,way
"Berg van 't Sum",,,,way
Berkenlaan,,,,way
Beukenstraat,,,,way
Beverkouter,,,,way
Bevrijdingsplein,,,,way
Biezeput,,,,way
Biezeweide,,,,way
Bilkensveld,,,,way
Blekerijstraat,,,,way
Bleukenstraat,,,,way
Bondgenotenstraat,,,,way
Boomgaardstraat,,,,way
Borreweg,,,,way
Borreweidestraat,,,,way
Boslaan,,,,way
Boterham,,,,way
Boterhampad,,,,way
Bremstraat,,,,way
Bresweg,,,,way
Broek,,,,way
Broekborre,,,,way
Bronstraat,,,,way
Brouwerijgang,,,,way
Brouwerijstraat,,,,way
Bruegellaan,,,,way
Budingen,,,,way
Burlingen,,,,way
"Buurtweg Lembeek 32",,,,way
Cantecleer,,,,way
Cavaleriestraat,,,,way
Claesplein,,,,way
Craeyenweg,,,,way
Crispielsstraat,,,,way
"Cypriaan Verhavertstraat",,,,way
Dassenveld,,,,way
Dassenveldstraat,,,,way
"De Elst",,,,way
"De Floere",,,,way
"Deken Michielsstraat",,,,way
Delleputsteeg,,,,way
Delleputstraat,,,,way
"Den Booien",,,,way
Devlemincklaan,,,,way
Diepeweg,,,,way
Dijkstraat,,,,way
Disbeekweg,,,,way
Distelweg,,,,way
Dodeweg,,,,way
"Dokter Spitaelslaan",,,,way
Doolaag,,,,way
Dorekensveld,,,,way
Dorpslaan,,,,way
"Dr. Emile Gallemaertstraat",,,,way
Drasop,,,,way
Dreef,,,,way
"Dreef van Eigenbrakel",,,,way
Driepikkel,,,,way
Dries,,,,way
Duivelserf,,,,way
"Edgard Tinelstraat",,,,way
Edingensesteenweg,,,,way
"Edouard Bralionstraat",,,,way
"Edouard Jacobs-erf",,,,way
Eglantierstraat,,,,way
Eikendreef,,,,way
Eikenlaan,,,,way
Eizingendorp,,,,way
Eizingenstraat,,,,way
Eizingenveld,,,,way
Elbeekdries,,,,way
Elbeekstraat,,,,way
"Emiel Derooverlaan",,,,way
"Ernest Duezstraat",,,,way
Esdoornstraat,,,,way
Europalaan,,,,way
Fabriekstraat,,,,way
"Felix Handelberghlaan",,,,way
"Felix Roggemanskaai",,,,way
"Felix Steensstraat",,,,way
"Felix Wouterserf",,,,way
Feugelaertsweg,,,,way
Floralaan,,,,way
"Fons Vandemaelestraat",,,,way
Fonteinstraat,,,,way
"Frans Daystraat",,,,way
"Frans Loriesstraat",,,,way
"Frans Sablonweg",,,,way
"Frederic Chopinlaan",,,,way
"Gaasbeeksesteenweg / Brabantsebaan",,,,way
"Gangske van Jangske",,,,way
Gasthuisstraat,,,,way
Gemeenteplein,,,,way
"Gerard Mercatorstraat",,,,way
Geynstbos,,,,way
Gieterijstraat,,,,way
Goudvinkenlaan,,,,way
Graankaai,,,,way
Grensweg,,,,way
Groebegrachtstraat,,,,way
Groeningenstraat,,,,way
Groenstraat,,,,way
"Grote Markt",,,,way
"Grote Weide",,,,way
"Guillaume Devalckstraat",,,,way
"Gulden Erf",,,,way
Haagstraat,,,,way
Haakstraat,,,,way
Haasblok,,,,way
Hallerbosstraat,,,,way
Halleweg,,,,way
"Halleweg / Kamerijkbos",,,,way
"Halleweg de Brages",,,,way
Handbooghof,,,,way
Hazenberg,,,,way
Heerweg,,,,way
Heideken,,,,way
Heidekenswegel,,,,way
Heidestraat,,,,way
Heideveld,,,,way
Heldenstraat,,,,way
Hellebroek,,,,way
"Henri Devedeleerstraat",,,,way
"Henri Quetstroeyelaan",,,,way
Herenveldstraat,,,,way
"Hervé Nihoullaan",,,,way
Heuvelpark,,,,way
Hippelenberg,,,,way
Hoefstraat,,,,way
"Hof ten Blooten",,,,way
Hogebermweg,,,,way
Hogemierstraat,,,,way
Hollestraat,,,,way
Holleveldweg,,,,way
Hondzochtsesteenweg,,,,way
Hoogveld,,,,way
Hooiblok,,,,way
Hoornstraat,,,,way
Houtveld,,,,way
Hovingenpad,,,,way
"Isidore Devilléstraat",,,,way
"J. en C. Colruytstraat",,,,way
"Jaak Liekensstraat",,,,way
"Jean Jacminstraat",,,,way
"Jean Laroystraat",,,,way
"Jérôme Ameysstraat",,,,way
"Jérôme Ameysstraat / Hollestraat",,,,way
"Jos Van Stoffelsweg",,,,way
"Joseph Petrestraat",,,,way
"Joseph Possozplein",,,,way
"Joseph Uylenbroeckstraat",,,,way
"Jozef Debusscherstraat",,,,way
"Jozef Degelaenstraat",,,,way
"Jozef Michelstraat",,,,way
Jubellaan,,,,way
Jubelplein,,,,way
Kamerijkbos,,,,way
Kamerijkdelle,,,,way
Kanaalbrugstraat,,,,way
Kanaalstraat,,,,way
Kapelweg,,,,way
Kapittel,,,,way
Karabiniersstraat,,,,way
"Kardinaal Mercierplein",,,,way
Kareelveld,,,,way
"Karel Nerinckxlaan",,,,way
Kastanjelaan,,,,way
Kasteelbrakelsesteenweg,,,,way
Kasteelstraat,,,,way
Kattenboserf,,,,way
Kazernestraat,,,,way
Kazerneweg,,,,way
Keerstraat,,,,way
Keldergat,,,,way
Keldergatwegel,,,,way
Kerkhofdreef,,,,way
Kerkhoflaan,,,,way
Kerkstraat,,,,way
Kesterbeekbos,,,,way
"Kesterbeekbos / Winkelaar",,,,way
Klabbeeksesteenweg,,,,way
Klaprozenlaan,,,,way
Klauwierlaan,,,,way
Kleemstraat,,,,way
"Klein ten Blooten",,,,way
"Kleine Molenstraat",,,,way
Kleinheide,,,,way
Kleutersbaan,,,,way
Klinkaert,,,,way
Kluisbos,,,,way
Kluisstraat,,,,way
Kolveniersstraat,,,,way
Konijnenerf,,,,way
Kopheiweg,,,,way
Korenbloemweg,,,,way
Kornijkveld,,,,way
"Korte Vest",,,,way
Kortestraat,,,,way
Kouter,,,,way
Krabos,,,,way
"Krabos / Krabosstraat",,,,way
Krekelenberg,,,,way
Kriekenveldstraat,,,,way
Krokumveldstraat,,,,way
Krokusstraat,,,,way
Kromstraat,,,,way
Kroondallaan,,,,way
Kruiskensheide,,,,way
Kruiskensveld,,,,way
Kruisstraat,,,,way
Kwelm,,,,way
Kwikstaartlaan,,,,way
"L.A. Sluysstraat",,,,way
Labbeekstraat,,,,way
"Lamme Guiche-erf",,,,way
Lammekenshoekweg,,,,way
Lampstraat,,,,way
Lecocqstraat,,,,way
Leeuwerikenlaan,,,,way
Leide,,,,way
Lembeekbos,,,,way
